hint,difficulty,word
Abstract,Easy,DREAM
Abstract,Easy,PEACE
Abstract,Easy,POWER
Abstract,Easy,TRUTH
Abstract,Medium,AMBITION
Abstract,Medium,ANSWER
Abstract,Medium,BALANCE
Abstract,Medium,BEAUTY
Abstract,Medium,CHANGE
Abstract,Medium,CHOICE
Abstract,Medium,COMFORT
Abstract,Medium,DANGER
Abstract,Medium,FREEDOM
Abstract,Medium,FUTURE
Abstract,Medium,JUSTICE
Abstract,Medium,MEMORY
Abstract,Medium,MYSTERY
Abstract,Medium,PATIENCE
Abstract,Medium,PROMISE
Abstract,Medium,SUCCESS
Abstract,Medium,WISDOM
Abstract,Hard,ADVENTURE
Abstract,Hard,CONFIDENCE
Abstract,Hard,CREATIVITY
Abstract,Hard,CURIOSITY
Abstract,Hard,FRIENDSHIP
Abstract,Hard,IMAGINATION
Abstract,Hard,INDEPENDENCE
Abstract,Hard,INSPIRATION
Abstract,Hard,KNOWLEDGE
Abstract,Hard,OPPORTUNITY
Abstract,Hard,RESPONSIBILITY
Animal,Easy,ANT
Animal,Easy,APE
Animal,Easy,BAT
Animal,Easy,BEAR
Animal,Easy,BEE
Animal,Easy,BIRD
Animal,Easy,CAMEL
Animal,Easy,CAT
Animal,Easy,COBRA
Animal,Easy,COW
Animal,Easy,CRAB
Animal,Easy,CROW
Animal,Easy,DEER
Animal,Easy,DOG
Animal,Easy,EAGLE
Animal,Easy,EEL
Animal,Easy,ELK
Animal,Easy,FOX
Animal,Easy,FROG
Animal,Easy,GOAT
Animal,Easy,GOOSE
Animal,Easy,HARE
Animal,Easy,HAWK
Animal,Easy,HORSE
Animal,Easy,KOALA
Animal,Easy,LION
Animal,Easy,LLAMA
Animal,Easy,MOOSE
Animal,Easy,MOUSE
Animal,Easy,MULE
Animal,Easy,OTTER
Animal,Easy,OWL
Animal,Easy,PANDA
Animal,Easy,PIG
Animal,Easy,PONY
Animal,Easy,RAT
Animal,Easy,RAVEN
Animal,Easy,RHINO
Animal,Easy,ROBIN
Animal,Easy,SHARK
Animal,Easy,SHEEP
Animal,Easy,SKUNK
Animal,Easy,SLOTH
Animal,Easy,SNAIL
Animal,Easy,SNAKE
Animal,Easy,SQUID
Animal,Easy,SWAN
Animal,Easy,TIGER
Animal,Easy,TOAD
Animal,Easy,WASP
Animal,Easy,WHALE
Animal,Easy,WOLF
Animal,Easy,YAK
Animal,Easy,ZEBRA
Animal,Medium,ANTELOPE
Animal,Medium,BABOON
Animal,Medium,BADGER
Animal,Medium,BUFFALO
Animal,Medium,DOLPHIN
Animal,Medium,DONKEY
Animal,Medium,ELEPHANT
Animal,Medium,FLAMINGO
Animal,Medium,GIRAFFE
Animal,Medium,GORILLA
Animal,Medium,HAMSTER
Animal,Medium,JAGUAR
Animal,Medium,KANGAROO
Animal,Medium,LEOPARD
Animal,Medium,LIZARD
Animal,Medium,LOBSTER
Animal,Medium,MONKEY
Animal,Medium,OCTOPUS
Animal,Medium,OSTRICH
Animal,Medium,PARROT
Animal,Medium,PEACOCK
Animal,Medium,PENGUIN
Animal,Medium,PIGEON
Animal,Medium,RABBIT
Animal,Medium,RACCOON
Animal,Medium,REINDEER
Animal,Medium,ROOSTER
Animal,Medium,SCORPION
Animal,Medium,SEAHORSE
Animal,Medium,SHRIMP
Animal,Medium,SPARROW
Animal,Medium,SPIDER
Animal,Medium,SQUIRREL
Animal,Medium,STARFISH
Animal,Medium,TOUCAN
Animal,Medium,TURKEY
Animal,Medium,TURTLE
Animal,Medium,WALRUS
Animal,Medium,WEASEL
Animal,Medium,WOMBAT
Animal,Hard,ALLIGATOR
Animal,Hard,ARMADILLO
Animal,Hard,BUTTERFLY
Animal,Hard,CHIMPANZEE
Animal,Hard,CROCODILE
Animal,Hard,HIPPOPOTAMUS
Animal,Hard,HUMMINGBIRD
Animal,Hard,KINGFISHER
Animal,Hard,ORANGUTAN
Animal,Hard,PORCUPINE
Animal,Hard,SALAMANDER
Animal,Hard,SWORDFISH
Animal,Hard,TARANTULA
Body,Easy,ANKLE
Body,Easy,ARM
Body,Easy,BEARD
Body,Easy,BRAIN
Body,Easy,CHEEK
Body,Easy,CHIN
Body,Easy,ELBOW
Body,Easy,FOOT
Body,Easy,HAIR
Body,Easy,HAND
Body,Easy,HEEL
Body,Easy,KNEE
Body,Easy,LEG
Body,Easy,LIP
Body,Easy,MOUTH
Body,Easy,NECK
Body,Easy,NOSE
Body,Easy,THUMB
Body,Easy,TOE
Body,Easy,WRIST
Body,Medium,FINGER
Body,Medium,FOREHEAD
Body,Medium,SHOULDER
Body,Medium,STOMACH
Body,Medium,TONGUE
Building,Easy,BARN
Building,Easy,CABIN
Building,Medium,COTTAGE
Building,Medium,GARAGE
Building,Medium,MANSION
Building,Medium,MOSQUE
Building,Medium,OFFICE
Building,Medium,TEMPLE
Building,Medium,WORKSHOP
Building,Hard,APARTMENT
Building,Hard,CATHEDRAL
Building,Hard,COURTHOUSE
Building,Hard,DORMITORY
Building,Hard,SKYSCRAPER
Building,Hard,TOWNHOUSE
Building,Hard,WAREHOUSE
City,Easy,CAIRO
City,Easy,DELHI
